,0
0,Alabama
1,Arkansas
2,Colorado
3,Connecticut
4,Georgia
5,Idaho
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,New Hampshire
20,New Jersey
21,North Carolina
22,Ohio
23,Oklahoma
24,Oregon
25,Rhode Island
26,South Carolina
27,Tennessee
28,Virginia
29,West Virginia
30,Wisconsin
31,Wyoming
